name,date,home,draw,away
Van De Zandschulp Botic - Schwartzman Diego Sebastian,2021-09-05 17:00:00,4.68,0,1.22
Evans Daniel - Medvedev Daniil,2021-09-05 19:30:00,14.10,0,1.04
Gojowczyk Peter - Alcaraz Garfia Carlos,2021-09-05 23:00:00,4.43,0,1.24
Tiafoe Frances - Auger Aliassime Felix,2021-09-06 01:00:00,2.63,0,1.54
Djokovic Novak - Brooksby Jenson,2021-09-06 17:00:00,1.02,0,20.60
Opelka Reilly - Harris Lloyd George,2021-09-06 17:00:00,1.82,0,2.10
Otte Oscar - Berrettini Matteo,2021-09-06 17:00:00,7.25,0,1.12
Zverev Alexander - Sinner Jannik,2021-09-06 17:00:00,1.18,0,5.51
Ejupovic Elmar - Nedic Andrej,2021-09-05 12:45:00,1.01,0,10.32
Kirkov Vasil - Jecan Mircea-Alexandru,2021-09-05 12:45:00,1.28,0,3.27
Muminovic Danijal - Tepavac Marko,2021-09-05 14:00:00,9.38,0,1.02
Poljak David - Echargui Moez,2021-09-05 14:00:00,1.40,0,2.68
Alvarez Nicolas - Nagal Sumit,2021-09-06 10:00:00,3.17,0,1.31
Fatic Nerman - Sachko Vitaliy,2021-09-06 10:00:00,1.90,0,1.82
Jaziri Malek - Cerundolo Juan Manuel,2021-09-06 10:00:00,4.04,0,1.20
Kopriva Vit - Basic Mirza,2021-09-06 10:00:00,1.70,0,2.05
Krstin Pedja - Moreno De Alboran Nicolas,2021-09-06 10:00:00,2.89,0,1.35
Kuzmanov Dimitar - Shevchenko Alexander,2021-09-06 10:00:00,1.78,0,1.95
Martin Andrej - Guinard Manuel,2021-09-06 10:00:00,1.59,0,2.22
Milojevic Nikola - Tadic Vladan,2021-09-06 10:00:00,1.02,0,9.38
Petrovic Danilo - Topo Marko,2021-09-06 10:00:00,1.19,0,4.17
Petrovic Drazen - Gomez Herrera Carlos,2021-09-06 10:00:00,5.90,0,1.09
Tseng Chun Hsin - Vatutin Alexey,2021-09-06 10:00:00,1.24,0,3.67
Zekic Miljan - Kolar Zdenek,2021-09-06 10:00:00,2.98,0,1.33
Mpetshi Perricard Giovanni - Hemery Calvin,2021-09-05 13:00:00,2.08,0,1.65
Wu Tung Lin - Reymond Arthur,2021-09-05 13:00:00,1.37,0,2.80
Briand Jurgen - Cazaux Arthur,2021-09-05 14:00:00,3.27,0,1.28
Ramanathan Ramkumar - Tsitsipas Petros,2021-09-05 14:00:00,1.05,0,7.43
Bonzi Benjamin - Fabbiano Thomas,2021-09-06 11:00:00,1.33,0,2.98
Broady Liam - Escobedo Ernesto,2021-09-06 11:00:00,1.84,0,1.84
Celikbilek Altug - Barrere Gregoire,2021-09-06 11:00:00,2.08,0,1.65
Fils Arthur - Ito Tatsuma,2021-09-06 11:00:00,2.08,0,1.65
Grenier Hugo - Soeda Go,2021-09-06 11:00:00,1.40,0,2.68
Gulbis Ernest - O'Connell Christopher,2021-09-06 11:00:00,2.26,0,1.55
Chidekh Clement - Uchiyama Yasutaka,2021-09-06 11:00:00,2.89,0,1.35
Kukushkin Mikhail - Safiullin Roman,2021-09-06 11:00:00,1.75,0,1.94
Lacko Lukas - Tomic Bernard,2021-09-06 11:00:00,1.65,0,2.08
Pouille Lucas - Sousa Joao,2021-09-06 11:00:00,1.50,0,2.38
Van Assche Luca - Watanuki Yosuke,2021-09-06 11:00:00,3.27,0,1.28
Ymer Elias - Muller Alexandre,2021-09-06 11:00:00,1.33,0,2.98
Zuk Kacper - Rodionov Jurij,2021-09-06 11:00:00,1.53,0,2.31
Cerundolo Juan Manuel - Moroni Gian Marco,2021-09-05 15:00:00,1.64,0,2.25
Manafov Vladyslav - Gakhov Ivan,2021-09-05 13:00:00,2.38,0,1.50
Tabur Clement - Berrettini Jacopo,2021-09-05 13:00:00,2.98,0,1.33
Agamenone Franco - Kozlov Stefan,2021-09-06 09:00:00,1.36,0,2.92
Baez Sebastian - Beloborodko Illya,2021-09-06 09:00:00,1.11,0,5.68
Borges Nuno - Halys Quentin,2021-09-06 09:00:00,1.79,0,1.94
Clarke Jay - Skatov Timofey,2021-09-06 09:00:00,1.72,0,2.02
Chappell Nick - Krutykh Oleksii,2021-09-06 09:00:00,3.30,0,1.29
Jianu Filip Cristian - Zusman Richard,2021-09-06 09:00:00,1.03,0,9.15
Lamasine Tristan - Uchida Kaichi,2021-09-06 09:00:00,1.36,0,2.95
Luz Orlando - Ferreira Silva Frederico,2021-09-06 09:00:00,1.89,0,1.83
Pucinelli De Almeida Matheus - Vrbensky Michael,2021-09-06 09:00:00,1.35,0,2.97
Sels Jelle - Stakhovsky Sergej,2021-09-06 09:00:00,1.45,0,2.57
Bonadio Riccardo - Lestienne Constant,2021-09-06 10:00:00,1.65,0,2.08
Popko Dmitry - Bega Alessandro,2021-09-06 10:00:00,1.20,0,3.94
Rybakov Alex - Braynin Aleksandr,2021-09-06 10:00:00,1.21,0,3.84
Uchiyama Yasutaka - Lacko Lukas,2021-09-05 19:00:00,1.83,0,1.97
Barroso Campos Alberto - Gerch Lucas,2021-09-05 12:35:00,2.89,0,1.35
Esteve Lobato Eduard - Motti Alessandro,2021-09-05 12:45:00,1.01,0,10.32
Marti Pujolras Alex - Vidal Azorin Jose Fco,2021-09-05 12:45:00,1.60,0,2.16
Darderi Luciano - Alvarez Varona Nicolas,2021-09-05 14:00:00,2.38,0,1.50
Martin Tiffon Pol - Rosenkranz Mats,2021-09-05 14:00:00,1.30,0,3.15
Andujar Alba Pablo - Barranco Cosano Javier,2021-09-06 10:00:00,1.51,0,2.40
Brancaccio Raul - Olivieri Genaro Alberto,2021-09-06 10:00:00,1.56,0,2.24
Carballes Baena Roberto - Ocleppo Julian,2021-09-06 10:00:00,1.14,0,5.07
Gabashvili Teimuraz - Gaio Federico,2021-09-06 10:00:00,3.65,0,1.23
Geerts Michael - Draper Jack,2021-09-06 10:00:00,1.72,0,2.02
Giustino Lorenzo - Cobolli Flavio,2021-09-06 10:00:00,2.80,0,1.39
Llamas Ruiz Pablo - Ugo Carabelli Camilo,2021-09-06 10:00:00,3.94,0,1.20
Moroni Gian Marco - Kuhn Nicola,2021-09-06 10:00:00,1.40,0,2.68
Oliveira Goncalo - Lenz Julian,2021-09-06 10:00:00,1.94,0,1.78
Ortega Olmedo Roberto - Andreev Adrian,2021-09-06 10:00:00,4.17,0,1.19
Sanchez Izquierdo Nikolas - Barrios Vera Marcelo Tomas,2021-09-06 10:00:00,2.58,0,1.45
Zapata Miralles Bernabe - Baldi Filippo,2021-09-06 10:00:00,1.17,0,4.31
Bonzi Benjamin - O'Connell Christopher,2021-09-05 14:00:00,1.89,0,1.91
Molleker Rudolf - Oberleitner Neil,2021-09-05 12:45:00,1.20,0,3.94
Nejedly Pavel - Villanueva Gonzalo,2021-09-05 12:45:00,1.72,0,1.98
Ignatik Vladimir - Pichler David,2021-09-05 14:00:00,1.28,0,3.27
Matos Rafael - Simon Tobias,2021-09-05 15:00:00,1.84,0,1.84
Bachinger Matthias - Monteiro Thiago Moura,2021-09-06 10:00:00,3.36,0,1.28
Cecchinato Marco - Misolic Filip,2021-09-06 10:00:00,1.16,0,4.56
Erler Alexander - Rosol Lukas,2021-09-06 10:00:00,2.04,0,1.70
Haerteis Johannes - Horansky Filip,2021-09-06 10:00:00,3.74,0,1.22
Huesler Marc Andrea - Dzumhur Damir,2021-09-06 10:00:00,2.64,0,1.43
Kovalik Jozef - Hanfmann Yannick,2021-09-06 10:00:00,2.09,0,1.67
Lehecka Jiri - Janvier Maxime,2021-09-06 10:00:00,1.33,0,3.06
Majchrzak Kamil - Rune Holger Vitus Nodskov,2021-09-06 10:00:00,1.91,0,1.82
Melzer Gerald - Meligeni Rodrigues Alves Felipe,2021-09-06 10:00:00,1.90,0,1.82
Moraing Mats - Miedler Lucas,2021-09-06 10:00:00,1.42,0,2.70
Neumayer Lukas - Vesely Jiri,2021-09-06 10:00:00,4.42,0,1.17
Stebe Cedrik-Marcel - Blancaneaux Geoffrey,2021-09-06 10:00:00,1.44,0,2.60
