name,date,home,draw,away
Severni Makedonie - Turecko,2021-09-05 13:00:00,7.89,0,1.08
Estonsko - Nemecko,2021-09-05 15:00:00,5.05,0,1.17
Cesko - Bulharsko,2021-09-05 16:00:00,3.53,0,1.30
Rusko - Finsko,2021-09-05 16:30:00,1.10,0,6.97
Portugalsko - Ukrajina,2021-09-05 17:30:00,2.87,0,1.42
Francie - Chorvatsko,2021-09-05 18:00:00,1.04,0,11.00
Italie - Cerna Hora,2021-09-05 19:00:00,1.04,0,11.00
Recko - Polsko,2021-09-05 20:30:00,16.00,0,1.01
Lotyssko - Slovensko,2021-09-06 16:00:00,1.90,0,1.90
Slovinsko - Belorusko,2021-09-06 19:00:00,1.08,0,7.89
Brazilie - Argentina,2021-09-05 15:00:00,1.22,0,3.58
Kolumbie - Chile,2021-09-05 18:00:00,3.35,0,1.25
