name,date,home,draw,away
Svitolina E. - Halep S. Rozšířená nabídka LIVE,2021-09-05 18:00:00,1.92,0,1.96
Kerber A. - Fernandez L.A.,2021-09-05 19:00:00,1.36,0,3.35
Mertens E. - Sabalenka A.,2021-09-05 20:15:00,3.35,0,1.36
Krejcikova B. - Muguruza G.,2021-09-06 03:00:00,1.75,0,2.23
Sakkari M. - Andreescu B.V.,2021-09-06 17:00:00,1.65,0,2.35
Bencic B. - Swiatek I.,2021-09-06 17:00:00,2.02,0,1.80
Rogers S. - Raducanu E.,2021-09-06 17:00:00,2.18,0,1.70
Pliskova Ka. - Pavlyuchenkova A.,2021-09-06 17:00:00,1.65,0,2.25
Sabalenka A. 2021,2021-09-05 18:05:00,4.50,3.20,2.10
Pliskova Ka. 2021,2021-09-05 18:05:00,8.00,4.10,2.45
Kerber A. 2021,2021-09-05 18:05:00,9.00,5.50,2.70
Swiatek I. 2021,2021-09-05 18:05:00,10.50,5.40,2.90
Krejcikova B. 2021,2021-09-05 18:05:00,11.00,6.50,3.50
Svitolina E. 2021,2021-09-05 18:05:00,12.50,6.80,3.20
Muguruza G. 2021,2021-09-05 18:05:00,12.50,7.50,3.60
Halep S. 2021,2021-09-05 18:05:00,12.50,6.80,3.30
Andreescu B.V. 2021,2021-09-05 18:05:00,14.00,6.00,3.20
Sakkari M. 2021,2021-09-05 18:05:00,17.00,5.80,3.10
Pavlyuchenkova A. 2021,2021-09-05 18:05:00,25.00,8.80,4.50
Mertens E. 2021,2021-09-05 18:05:00,33.00,9.50,4.80
Van De Zandschulp B. - Schwartzman D.,2021-09-05 17:00:00,4.60,0,1.23
Evans D. - Medvedev D. Rozšířená nabídka LIVE,2021-09-05 19:15:00,13.00,0,1.05
Gojowczyk P. - Alcaraz Garfia C.,2021-09-05 23:00:00,4.40,0,1.24
Tiafoe F. - Auger-Aliassime F.,2021-09-06 01:00:00,2.65,0,1.53
Otte O. - Berrettini M.,2021-09-06 17:00:00,6.80,0,1.13
Opelka R. - Harris L.,2021-09-06 17:00:00,1.80,0,2.11
Djokovic N. - Brooksby J.,2021-09-06 17:00:00,1.03,0,19.00
Zverev A. - Sinner J.,2021-09-06 17:00:00,1.18,0,5.40
Djokovic N. 2021,2021-09-05 17:05:00,1.62,1.37,1.17
Medvedev D. 2021,2021-09-05 17:05:00,3.50,1.36,1.12
Zverev A. 2021,2021-09-05 17:05:00,5.50,3.50,1.50
Berrettini M. 2021,2021-09-05 17:05:00,30.00,13.00,6.30
Alcaraz Garfia C. 2021,2021-09-05 17:05:00,35.00,6.60,2.30
Schwartzman D. 2021,2021-09-05 17:05:00,38.00,9.00,4.40
Auger-Aliassime F. 2021,2021-09-05 17:05:00,40.00,6.80,2.65
Tiafoe F. 2021,2021-09-05 17:05:00,50.00,11.50,4.30
Sinner J. 2021,2021-09-05 17:05:00,64.00,19.00,5.30
Opelka R. 2021,2021-09-05 17:05:00,90.00,47.00,10.00
Evans D. 2021,2021-09-05 17:05:00,110.00,24.00,12.00
Gojowczyk P. 2021,2021-09-05 17:05:00,200.00,36.00,9.00
Kudermetova V. / Mattek-Sands B. - Dolehide C. / Sanders S.,2021-09-05 17:00:00,1.38,0,3.10
Kasatkina D. / Kontaveit A. - Jurak D. / Klepac A.,2021-09-05 19:00:00,2.36,0,1.60
Petkovic A. / Tomljanovic A. - Kichenok N. / Olaru R.,2021-09-05 20:30:00,2.60,0,1.50
Martic P. / Rogers S. - Dabrowski G. / Stefani L.,2021-09-05 20:30:00,2.90,0,1.42
Diyas Z. / Gracheva V. - Bouzkova M. / Hradecka L.,2021-09-05 21:45:00,3.70,0,1.29
Stosur S. / Zhang S. - Aoyama S. / Shibahara E.,2021-09-06 17:00:00,2.90,0,1.42
Gonzalez S. / Molteni A. - Krawietz K. / Tecau H.,2021-09-05 17:00:00,3.15,0,1.37
Berankis R. / Paire B. - Johnson S. / Querrey S.,2021-09-05 18:15:00,2.60,0,1.50
King E. / Reese H. - Ebden M. / Purcell M.,2021-09-05 18:30:00,2.70,0,1.47
Skupski N. / Sock J. - Koepfer D. / Ruusuvuori E.,2021-09-05 19:50:00,1.61,0,2.32
Peers J. / Polasek F. - Erlich J. / Harris L.,2021-09-05 20:30:00,1.35,0,3.20
Ram R. / Salisbury J. - Bopanna R. / Dodig I.,2021-09-06 17:00:00,1.34,0,3.30
O'Mara J. / Qureshi A. - Granollers M. / Zeballos H.,2021-09-06 17:00:00,3.50,0,1.27
Golubev A. / Mies A. - Herbert P.H. / Mahut N.,2021-09-06 17:00:00,3.60,0,1.25
Mclachlan B. / Shibahara E. - Krajicek A. / Pegula J.,2021-09-05 19:00:00,1.70,0,2.16
Demoliner M. / Perez E. - Vliegen J. / Klepac A.,2021-09-05 21:50:00,2.46,0,1.56
