name,date,home,draw,away
Sev.Makedonie - Turecko,2021-09-05 13:00:00,6.30,0,1.12
Estonsko - Německo,2021-09-05 15:00:00,4.55,0,1.20
Česko - Bulharsko živě na ČT sport,2021-09-05 16:00:00,3.50,0,1.32
Rusko - Finsko,2021-09-05 16:30:00,1.10,0,7.00
Portugalsko - Ukrajina,2021-09-05 17:30:00,2.96,0,1.40
Francie - Chorvatsko,2021-09-05 18:00:00,1.05,0,10.00
Itálie - Černá Hora,2021-09-05 19:00:00,1.04,0,11.00
Řecko - Polsko,2021-09-05 20:30:00,14.00,0,1.02
Lotyšsko - Slovensko,2021-09-06 16:00:00,1.90,0,1.90
Slovinsko - Bělorusko živě na ČT sport,2021-09-06 19:00:00,1.10,0,7.00
Polsko 2021,2021-09-05 13:00:00,3.00,1.65,1.33
Francie 2021,2021-09-05 13:00:00,5.50,2.80,1.85
Srbsko 2021,2021-09-05 13:00:00,6.00,3.00,1.90
Rusko 2021,2021-09-05 13:00:00,8.00,4.00,2.50
Slovinsko 2021,2021-09-05 13:00:00,13.00,6.50,3.90
Itálie 2021,2021-09-05 13:00:00,14.00,6.50,4.50
Německo 2021,2021-09-05 13:00:00,33.00,17.00,8.00
Turecko 2021,2021-09-05 13:00:00,35.00,20.00,7.00
Bulharsko 2021,2021-09-05 13:00:00,40.00,22.00,11.00
Nizozemsko 2021,2021-09-05 13:00:00,40.00,22.00,11.00
Ukrajina 2021,2021-09-05 13:00:00,40.00,22.00,10.00
Belgie 2021,2021-09-05 13:00:00,100.00,50.00,23.00
Estonsko 2021,2021-09-05 13:00:00,150.00,100.00,35.00
Finsko 2021,2021-09-05 13:00:00,150.00,75.00,40.00
Česko 2021,2021-09-05 13:00:00,200.00,100.00,40.00
Bělorusko 2021,2021-09-05 13:00:00,200.00,100.00,50.00
Portugalsko 2021,2021-09-05 13:00:00,200.00,80.00,35.00
Lotyšsko 2021,2021-09-05 13:00:00,300.00,150.00,80.00
Chorvatsko 2021,2021-09-05 13:00:00,350.00,200.00,80.00
Slovensko 2021,2021-09-05 13:00:00,500.00,300.00,200.00
Španělsko 2021,2021-09-05 13:00:00,2 000.00,1 000.00,400.00
Řecko 2021,2021-09-05 13:00:00,2 000.00,1 000.00,500.00
Černá Hora 2021,2021-09-05 13:00:00,2 000.00,1 000.00,500.00
Sev.Makedonie 2021,2021-09-05 13:00:00,9 999.00,5 555.00,2 222.00
Brazílie - Argentina,2021-09-05 15:00:00,1.24,0,3.70
Kolumbie - Chile,2021-09-05 18:00:00,3.45,0,1.27
