name,date,home,draw,away
"Van De Zandschulp, Botic - Schwartzman, Diego",2021-09-05 17:00:00,4.35,0,1.22
"Evans, Daniel - Medvedev, Daniil",2021-09-05 19:15:00,11.16,0,1.04
"Gojowczyk, Peter - Alcaraz Garfia, Carlos",2021-09-05 23:00:00,4.24,0,1.23
"Tiafoe, Frances - Auger Aliassime, Felix",2021-09-06 01:00:00,2.52,0,1.53
"Djokovic, Novak - Brooksby, Jenson",2021-09-06 17:00:00,1.02,0,12.6
"Opelka, Reilly - Harris, Lloyd",2021-09-06 17:00:00,1.75,0,2.04
"Otte, Oscar - Berrettini, Matteo",2021-09-06 17:00:00,6.25,0,1.11
"Zverev, Alexander - Sinner, Jannik",2021-09-06 17:00:00,1.16,0,4.96
Gonzalez S / Molteni A - Krawietz K / Tecau H,2021-09-05 17:00:00,3.15,0,1.37
Berankis R / Paire B - Johnson S / Querrey S,2021-09-05 18:15:00,2.61,0,1.5
King E / Reese H - Ebden M / Purcell M,2021-09-05 18:30:00,2.7,0,1.47
Skupski N / Sock J - Koepfer D / Ruusuvuori E,2021-09-05 19:50:00,1.59,0,2.37
Peers J / Polasek F - Erlich J / Harris L,2021-09-05 20:30:00,1.35,0,3.22
Ram R / Salisbury J - Bopanna R / Dodig I,2021-09-06 17:00:00,1.33,0,3.23
Mclachlan B / Shibahara E - Krajicek A / Pegula J,2021-09-05 19:00:00,1.7,0,2.16
Demoliner M / Perez E - Vliegen J / Klepac A,2021-09-05 21:50:00,2.46,0,1.56
"Cerundolo, Juan Manuel - Moroni, Gian Marco",2021-09-05 15:00:00,1.62,0,2.21
"Bonzi, Benjamin - O'Connell, Christopher",2021-09-05 14:00:00,1.88,0,1.86
"Uchiyama, Yasutaka - Lacko, Lukas",2021-09-05 19:00:00,1.79,0,1.92
Blancaneaux G / Janvier M - Misolic F / Neuchrist M,2021-09-07 10:00:00,1.51,0,2.33
Brown D / Vavassori A - Melzer G / Melzer J,2021-09-07 10:00:00,1.57,0,2.21
Emesz B / Kaufmann H P - Matos R / Meligeni Rodrigues Alves F,2021-09-07 10:00:00,8.64,0,1.03
Erler A / Miedler L - Haerteis J / Hassan B,2021-09-07 10:00:00,1.46,0,2.47
Gengel M / Ignatik U - Jebavy R / Zelenay I,2021-09-07 10:00:00,3.63,0,1.23
Goransson A / Lammons N - Bobrov B / Horansky F,2021-09-07 10:00:00,1.22,0,3.72
Martineau M / Villanueva G - Neumayer L / Oberleitner N,2021-09-07 10:00:00,1.89,0,1.79
Beloborodko I / Orlov V - Molchanov D / Stakhovsky S,2021-09-07 09:00:00,4.9,0,1.13
